Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Repsol S/ 19.49","-11.996621","-76.834564","Repsol","ATE","Lima","AV. NICOLAS AYLLON N° 10080 (URB. PROGRAMA DE VIVIENDA FHILADELFIA MZ. H LOTE 1)","19.49","22.49","3.00","21.49","25.99","158833","2026-09-23"
"Repsol S/ 19.99","-12.084637","-77.06483","Repsol","PUEBLO LIBRE","Lima","AV. LA MARINA N° 325, ESQ. JR. TORRE TAGLE","19.99","22.99","3.00","21.99","26.99","19966","2026-09-23"
"Repsol S/ 19.99","-12.193086","-76.94547","Repsol","VILLA EL SALVADOR","Lima","AV. CENTRAL CDRA. 6, SECTOR 1, GRUPO 3, MZ. J, LTS. 1, 2 Y 24","19.99","22.99","3.00","21.99","27.99","21660","2026-09-23"
"Repsol S/ 19.99","-12.112804","-77.012794","Repsol","SURQUILLO","Lima","AV. ANGAMOS ESTE N° 1715 ESQ. CON CALLE UNO","19.99","22.99","3.00","21.99","26.99","41375","2026-09-23"
"Repsol S/ 19.99","-12.116041","-77.01819","Repsol","SURQUILLO","Lima","AV REPUBLICA DE PANAMA Nº 5185","19.99","22.99","3.00","20.99","25.99","61136","2026-09-23"
"Repsol S/ 19.99","-12.072105","-77.00252","Repsol","SAN LUIS","Lima","AV. NICOLAS ARRIOLA N° 2140 ESQUINA CON AV. SAN LUIS, URBANIZACION SAN LUIS","19.99","22.99","3.00","22.49","","132204","2026-09-23"
"Repsol S/ 19.99","-12.173354","-76.97784","Repsol","SAN JUAN DE MIRAFLORES","Lima","CARRETERA PANAMERICANA SUR KM. 14.00 - URB. SAN JUAN","19.99","22.99","3.00","21.99","26.99","9149","2026-09-23"
"Repsol S/ 19.99","-11.946487","-76.98396","Repsol","SAN JUAN DE LURIGANCHO","Lima","AV. PROCERES DE LA INDEPENDENCIA N° 5324","19.99","22.99","3.00","20.99","27.99","19969","2026-09-23"
"Repsol S/ 19.99","-12.0099","-77.00389","Repsol","SAN JUAN DE LURIGANCHO","Lima","AV. PROCERES DE LA INDEPENDENCIA Nº 1487 URB. LOS JARDINES DE SAN JUAN","19.99","22.99","3.00","21.99","27.99","7868","2026-09-23"
"Repsol S/ 19.99","-11.853881","-77.08877","Repsol","PUENTE PIEDRA","Lima","AV. PUENTE PIEDRA N° 1365","19.99","22.99","3.00","20.99","27.99","8196","2026-09-23"
"Repsol S/ 19.99","-12.113817","-77.02656","Repsol","MIRAFLORES","Lima","AV. PASEO DE LA REPUBLICA INTERSECCION CON LA AV. ANGAMOS N° 498","19.99","22.99","3.00","21.99","27.99","16602","2026-09-23"
"Repsol S/ 19.99","-12.006785","-77.05435","Repsol","INDEPENDENCIA","Lima","AV. TUPAC AMARU, ESQ. AV. TOMAS VALLE","19.99","22.99","3.00","21.49","26.99","18882","2026-09-23"
"Repsol S/ 19.99","-12.055523","-77.052765","Repsol","BREÑA","Lima","AV. REPUBLICA DE VENEZUELA N° 1315","19.99","22.99","3.00","21.99","26.99","19944","2026-09-23"
"Repsol S/ 19.99","-12.055599","-77.058304","Repsol","LIMA","Lima","AV. TINGO MARIA N° 994, ESQUINA CON AV. REPUBLICA DE VENEZUELA N° 1820","19.99","22.99","3.00","21.99","27.99","18824","2026-09-23"
"Repsol S/ 19.99","-12.053349","-77.09552","Repsol","BELLAVISTA","Callao","INTERSECCION DE AV. OSCAR R. BENAVIDES N° 4600 Y AV. SAN JOSE URB. SAN JOSE","19.99","22.99","3.00","21.99","27.99","14583","2026-09-23"
"Repsol S/ 19.99","-12.061564","-77.1339","Repsol","BELLAVISTA","Callao","AV. ALMIRANTE GRAU N° 1300, ESQUINA CON LA CALLE VIGIL N° 335-355 (AV. BUENOS AIRES, ESQUINA CON LA CALLE VIGIL)","19.99","22.99","3.00","21.99","27.99","9535","2026-09-23"
"Repsol S/ 20.49","-11.882599","-77.06813","Repsol","PUENTE PIEDRA","Lima","CARRETERA PANAMERICANA NORTE KM. 28.3","20.49","23.49","3.00","22.49","27.99","7073","2026-09-23"
"Repsol S/ 20.49","-12.183519","-77.009","Repsol","CHORRILLOS","Lima","AV. DEFENSORES DEL MORRO (ANTES HUAYLAS) N° 2671 MZ. Z-1, LTS. 1, 2, 3, 4 Y 5. URB. SANTA LEONOR","20.49","23.49","3.00","21.99","27.99","35251","2026-09-23"
"Primax S/ 20.69","-12.039546","-77.03356","Primax","RIMAC","Lima","JR. VIRU Nº 606","20.69","21.69","1.00","20.19","24.49","7058","2026-09-23"
"Primax S/ 20.89","-12.070353","-77.03103","Primax","LA VICTORIA","Lima","ESQUINA AV. PASEO DE LA REPUBLICA CON AV. ISABEL LA CATOLICA S/N","20.89","21.89","1.00","20.89","25.59","18289","2026-09-23"
"Primax S/ 20.99","-11.985","-77.0073","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. PROCERES DE LA INDEPENDENCIA N° 2773-2785-2799 ESQUINA CON AV. EL SOL N° 388 - URB. SAN CARLOS","20.99","21.99","1.00","20.89","24.89","7758","2026-09-23"
"Primax S/ 20.99","-12.030842","-77.04213","Primax","RIMAC","Lima","AV. FRANCISCO PIZARRO N°1207","20.99","21.99","1.00","20.59","24.95","16586","2026-09-23"
"Primax S/ 20.99","-12.316627","-76.83189","Primax","PUNTA HERMOSA","Lima","ZONA MÁRTIR OLAYA MZ. 'D' LOTE 5 (ANTES: CARRETERA PANAMERICANA SUR KM. 43)","20.99","21.99","1.00","20.59","24.69","7474","2026-09-23"
"Primax S/ 20.99","-12.29722","-76.85702","Primax","LURIN","Lima","SUB LOTE B-1 PARCELA RUSTICA FUNDO. CARRETERA PANAMERICANA SUR ALTURA KM 34.5 Y PLAYA ARICA","20.99","21.99","1.00","20.55","24.69","155911","2026-09-23"
"Primax S/ 20.99","-12.275859","-76.88944","Primax","LURIN","Lima","PANAMERICANA SUR KM. 30 - PARCELA B21, PARCELA B21 A1, EX FUNDO SAN PEDRO","20.99","21.99","1.00","20.55","24.69","21358","2026-09-23"
"Primax S/ 20.99","-12.272126","-76.89691","Primax","LURIN","Lima","CARRETERA PANAMERICANA SUR KM 29.50","20.99","21.99","1.00","20.55","24.69","7179","2026-09-23"
"Primax S/ 20.99","-11.978845","-77.072624","Primax","LOS OLIVOS","Lima","AV. LAS PALMERAS MZ. A1, LOTES 2-3, ESQ. CON AV. NARANJAL, URB. PARQUE NARANJAL II ETAPA","20.99","21.99","1.00","20.75","25.25","33179","2026-09-23"
"Repsol S/ 20.99","-12.073233","-77.05589","Repsol","PUEBLO LIBRE","Lima","AV. BOLIVAR N° 330, ESQ. AV. DEL RIO","20.99","23.99","3.00","22.99","27.99","18883","2026-09-23"
"Repsol S/ 20.99","-12.146486","-77.00913","Repsol","SANTIAGO DE SURCO","Lima","AV. ROOSELVELT Y PARQUE ALTO CDRA 6","20.99","23.99","3.00","21.99","26.99","7041","2026-09-23"
"Repsol S/ 20.99","-12.065004","-77.097496","Repsol","SAN MIGUEL","Lima","AV. ELMER FAUCETT N° 477-481 ESQ. CALLE HIDALGO – URB.MARANGA","20.99","23.99","3.00","21.99","26.99","19984","2026-09-23"
"Repsol S/ 20.99","-12.009794","-77.05365","Repsol","SAN MARTIN DE PORRES","Lima","AV. TUPAC AMARU N° 1453","20.99","23.99","3.00","21.99","27.99","19983","2026-09-23"
"Repsol S/ 20.99","-12.039354","-77.015915","Repsol","RIMAC","Lima","AV. 09 DE OCTUBRE Nº 508 (AV. CIRCUNVALACION KM. 6.5), PIEDRA LIZA","20.99","23.99","3.00","22.49","27.99","16638","2026-09-23"
"Repsol S/ 20.99","-12.238344","-76.91278","Repsol","PACHACAMAC","Lima","AV. LIMA ESQ. CALLE LA PAZ, URB. LOS PORTALES DE PACHACAMAC","20.99","23.99","3.00","22.99","26.99","18873","2026-09-23"
"Repsol S/ 20.99","-12.00611","-77.06111","Repsol","INDEPENDENCIA","Lima","AV. ALFREDO MENDIOLA N° 2000","20.99","23.99","3.00","22.99","27.99","16642","2026-09-23"
"Repsol S/ 20.99","-12.178183","-76.99597","Repsol","CHORRILLOS","Lima","AV. GUARDIA CIVIL N° 723 - 709 - 715, ESQUINA CON AV. EL SOL N° 1297 - 1283 - 1275 - 1269, URB. LA CAMPIÑA","20.99","23.99","3.00","21.99","27.99","21036","2026-09-23"
"Repsol S/ 20.99","-11.90116","-77.03028","Repsol","CARABAYLLO","Lima","AV. TUPAC AMARU KM.16,5","20.99","23.99","3.00","21.99","27.99","7040","2026-09-23"
"Repsol S/ 20.99","-12.058014","-76.971306","Repsol","ATE","Lima","AV. NICOLAS AYLLON N° 2970","20.99","23.99","3.00","21.99","27.99","16639","2026-09-23"
"Repsol S/ 20.99","-12.064293","-76.98664","Repsol","ATE","Lima","AV. NICOLAS AYLLON Nº 1912","20.99","23.99","3.00","21.99","27.99","16775","2026-09-23"
"Repsol S/ 20.99","-12.042032","-77.07727","Repsol","LIMA","Lima","AV. UNIVERSITARIA SUR N° 546, CON FRENTE CALLE MATERIALES N° 156","20.99","23.99","3.00","21.99","27.99","16600","2026-09-23"
"Repsol S/ 20.99","-12.046998","-77.07955","Repsol","LIMA","Lima","AV. ARGENTINA Nº 3003 - 3005","20.99","23.99","3.00","22.49","27.99","17867","2026-09-23"
"Repsol S/ 20.99","-12.04654","-77.07267","Repsol","LIMA","Lima","AV. REPUBLICA DE ARGENTINA N° 2501 – 2505 CON JR. LEONARDO ARRIETA N° 760 - 786","20.99","23.99","3.00","22.49","27.99","18822","2026-09-23"
"Repsol S/ 20.99","-12.046194","-77.04388","Repsol","LIMA","Lima","AV. COLONIAL N° 140, 160, 164, 178, ESQUINA CON JR. HUAROCHIRI N° 591","20.99","23.99","3.00","22.49","27.99","18872","2026-09-23"
"Repsol S/ 20.99","-12.048868","-77.06521","Repsol","LIMA","Lima","AV. COLONIAL N° 1817 - 1821","20.99","23.99","3.00","22.49","27.99","37610","2026-09-23"
"Repsol S/ 20.99","-12.042305","-77.0658","Repsol","LIMA","Lima","AV. NICOLAS DUEÑAS N° 606, 610, 616 (ANTES AV. NICOLAS DUEÑAS N° 590 CDRA 17 DE LA AV. ARGENTINA)","20.99","23.99","3.00","22.99","27.99","42769","2026-09-23"
"Repsol S/ 20.99","-12.04732","-77.05345","Repsol","LIMA","Lima","AV. OSCAR R. BENAVIDES N° 930","20.99","23.99","3.00","22.49","27.99","9520","2026-09-23"
"Repsol S/ 20.99","-12.014078","-77.09527","Repsol","CALLAO","Callao","AV. TOMAS VALLE, ESQ. CON AV. LOS DOMINICOS - URB. JORGE CHAVEZ","20.99","23.99","3.00","21.99","27.99","15211","2026-09-23"
"Repsol S/ 20.99","-11.941226","-77.13078","Repsol","CALLAO","Callao","AV. CORONEL NESTOR GAMBETTA N° 10548","20.99","23.99","3.00","21.99","27.99","9531","2026-09-23"
"Repsol S/ 20.99","-12.050311","-77.12641","Repsol","CALLAO","Callao","AV. NESTOR GAMBETTA N° 115","20.99","23.99","3.00","21.99","27.99","20125","2026-09-23"
"Repsol S/ 20.99","-12.050052","-77.1137","Repsol","CALLAO","Callao","AV. REPUBLICA DE ARGENTINA Nº 2920","20.99","23.99","3.00","21.99","27.99","8003","2026-09-23"
"Repsol S/ 20.99","-12.05","-77.09849","Repsol","CARMEN DE LA LEGUA REYNOSO","Callao","AV. ELMER FAUCETT N° 377","20.99","23.99","3.00","21.99","27.99","18553","2026-09-23"
"Repsol S/ 20.99","-11.921436","-77.12796","Repsol","VENTANILLA","Callao","AUTOPISTA HACIA VENTANILLA (AV. NESTOR GAMBETTA), SUB PARCELA A6-2B-1","20.99","23.99","3.00","22.49","27.99","150207","2026-09-23"
"Primax S/ 21.09","-12.0859","-77.0355","Primax","LINCE","Lima","AV. ARENALES N° 2100","21.09","22.09","1.00","20.69","25.49","6781","2026-09-23"
"Primax S/ 21.15","-12.063315","-77.142944","Primax","CALLAO","Callao","AV. MARCO POLO S/N ESQ. JR. ALBERTO SECADA N* 474","21.15","22.15","1.00","20.65","26.15","21057","2026-09-23"
"Primax S/ 21.19","-11.946224","-76.984344","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. WIESSE SECTOR III, MZ. G8, LOTE 41, PROGRAMA CIUDAD MARISCAL CÁCERES","21.19","22.19","1.00","20.49","24.89","15496","2026-09-23"
"Primax S/ 21.19","-11.979714","-77.0052","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. PROCERES DE LA INDEPENDENCIA N° 3299, ESQ. CON AV. EL BOSQUE, MZ. B - LT. 06 URB. CANTO GRANDE,","21.19","22.19","1.00","20.99","24.99","17906","2026-09-23"
