codigo_osinergmin,marca,zona,distrito,direccion,lat,lon,premium_lista,descuento,premium_final,regular_lista,diesel_lista
"132204","Repsol","LIMA","SAN LUIS","AV. NICOLAS ARRIOLA N° 2140 ESQUINA CON AV. SAN LUIS, URBANIZACION SAN LUIS","-12.072105","-77.00252","22.99","3","19.99","21.49",""
"158833","Repsol","LIMA","ATE","AV. NICOLAS AYLLON N° 10080 (URB. PROGRAMA DE VIVIENDA FHILADELFIA MZ. H LOTE 1)","-11.996621","-76.834564","22.99","3","19.99","21.49","26.99"
"18824","Repsol","LIMA","LIMA","AV. TINGO MARIA N° 994, ESQUINA CON AV. REPUBLICA DE VENEZUELA N° 1820","-12.055599","-77.058304","23.09","3","20.09","21.99","27.99"
"61136","Repsol","LIMA","SURQUILLO","AV REPUBLICA DE PANAMA Nº 5185","-12.116041","-77.01819","23.19","3","20.19","21.19","26.99"
"9149","Repsol","LIMA","SAN JUAN DE MIRAFLORES","CARRETERA PANAMERICANA SUR KM. 14.00 - URB. SAN JUAN","-12.173354","-76.97784","23.19","3","20.19","21.99","27.99"
"19969","Repsol","LIMA","SAN JUAN DE LURIGANCHO","AV. PROCERES DE LA INDEPENDENCIA N° 5324","-11.946487","-76.98396","23.29","3","20.29","20.99","27.99"
"16602","Repsol","LIMA","MIRAFLORES","AV. PASEO DE LA REPUBLICA INTERSECCION CON LA AV. ANGAMOS N° 498","-12.113817","-77.02656","23.29","3","20.29","21.99","27.99"
"19966","Repsol","LIMA","PUEBLO LIBRE","AV. LA MARINA N° 325, ESQ. JR. TORRE TAGLE","-12.084637","-77.06483","23.49","3","20.49","21.99","27.99"
"21660","Repsol","LIMA","VILLA EL SALVADOR","AV. CENTRAL CDRA. 6, SECTOR 1, GRUPO 3, MZ. J, LTS. 1, 2 Y 24","-12.193086","-76.94547","23.49","3","20.49","22.49","27.99"
"41375","Repsol","LIMA","SURQUILLO","AV. ANGAMOS ESTE N° 1715 ESQ. CON CALLE UNO","-12.112804","-77.012794","23.49","3","20.49","21.99","27.99"
"7868","Repsol","LIMA","SAN JUAN DE LURIGANCHO","AV. PROCERES DE LA INDEPENDENCIA Nº 1487 URB. LOS JARDINES DE SAN JUAN","-12.0099","-77.00389","23.49","3","20.49","21.99","27.99"
"7073","Repsol","LIMA","PUENTE PIEDRA","CARRETERA PANAMERICANA NORTE KM. 28.3","-11.882599","-77.06813","23.49","3","20.49","22.49","27.99"
"8196","Repsol","LIMA","PUENTE PIEDRA","AV. PUENTE PIEDRA N° 1365","-11.853881","-77.08877","23.49","3","20.49","20.99","27.99"
"18882","Repsol","LIMA","INDEPENDENCIA","AV. TUPAC AMARU, ESQ. AV. TOMAS VALLE","-12.006785","-77.05435","23.49","3","20.49","21.99","27.99"
"19944","Repsol","LIMA","BREÑA","AV. REPUBLICA DE VENEZUELA N° 1315","-12.055523","-77.052765","23.49","3","20.49","21.99","27.99"
"14583","Repsol","CALLAO","BELLAVISTA","INTERSECCION DE AV. OSCAR R. BENAVIDES N° 4600 Y AV. SAN JOSE URB. SAN JOSE","-12.053349","-77.09552","23.49","3","20.49","21.99","27.99"
"9535","Repsol","CALLAO","BELLAVISTA","AV. ALMIRANTE GRAU N° 1300, ESQUINA CON LA CALLE VIGIL N° 335-355 (AV. BUENOS AIRES, ESQUINA CON LA CALLE VIGIL)","-12.061564","-77.1339","23.49","3","20.49","21.99","27.99"
"18289","COESTI (Primax)","LIMA","LA VICTORIA","ESQUINA AV. PASEO DE LA REPUBLICA CON AV. ISABEL LA CATOLICA S/N","-12.070353","-77.03103","21.89","1","20.89","20.89","25.95"
"7758","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. PROCERES DE LA INDEPENDENCIA N° 2773-2785-2799 ESQUINA CON AV. EL SOL N° 388 - URB. SAN CARLOS","-11.985","-77.0073","21.99","1","20.99","20.89","24.89"
"18883","Repsol","LIMA","PUEBLO LIBRE","AV. BOLIVAR N° 330, ESQ. AV. DEL RIO","-12.073233","-77.05589","23.99","3","20.99","22.99","27.99"
"7041","Repsol","LIMA","SANTIAGO DE SURCO","AV. ROOSELVELT Y PARQUE ALTO CDRA 6","-12.146486","-77.00913","23.99","3","20.99","21.99","27.99"
"19984","Repsol","LIMA","SAN MIGUEL","AV. ELMER FAUCETT N° 477-481 ESQ. CALLE HIDALGO – URB.MARANGA","-12.065004","-77.097496","23.99","3","20.99","21.99","27.99"
"19983","Repsol","LIMA","SAN MARTIN DE PORRES","AV. TUPAC AMARU N° 1453","-12.009794","-77.05365","23.99","3","20.99","21.99","27.99"
"16638","Repsol","LIMA","RIMAC","AV. 09 DE OCTUBRE Nº 508 (AV. CIRCUNVALACION KM. 6.5), PIEDRA LIZA","-12.039354","-77.015915","23.99","3","20.99","22.99","27.99"
"18873","Repsol","LIMA","PACHACAMAC","AV. LIMA ESQ. CALLE LA PAZ, URB. LOS PORTALES DE PACHACAMAC","-12.238344","-76.91278","23.99","3","20.99","22.99","27.99"
"16642","Repsol","LIMA","INDEPENDENCIA","AV. ALFREDO MENDIOLA N° 2000","-12.00611","-77.06111","23.99","3","20.99","22.99","27.99"
"21036","Repsol","LIMA","CHORRILLOS","AV. GUARDIA CIVIL N° 723 - 709 - 715, ESQUINA CON AV. EL SOL N° 1297 - 1283 - 1275 - 1269, URB. LA CAMPIÑA","-12.178183","-76.99597","23.99","3","20.99","21.99","27.99"
"35251","Repsol","LIMA","CHORRILLOS","AV. DEFENSORES DEL MORRO (ANTES HUAYLAS) N° 2671 MZ. Z-1, LTS. 1, 2, 3, 4 Y 5. URB. SANTA LEONOR","-12.183519","-77.009","23.99","3","20.99","21.99","27.99"
"7040","Repsol","LIMA","CARABAYLLO","AV. TUPAC AMARU KM.16,5","-11.90116","-77.03028","23.99","3","20.99","21.99","27.99"
"16639","Repsol","LIMA","ATE","AV. NICOLAS AYLLON N° 2970","-12.058014","-76.971306","23.99","3","20.99","21.99","27.99"
"16775","Repsol","LIMA","ATE","AV. NICOLAS AYLLON Nº 1912","-12.064293","-76.98664","23.99","3","20.99","21.99","27.99"
"16600","Repsol","LIMA","LIMA","AV. UNIVERSITARIA SUR N° 546, CON FRENTE CALLE MATERIALES N° 156","-12.042032","-77.07727","23.99","3","20.99","21.99","27.99"
"17867","Repsol","LIMA","LIMA","AV. ARGENTINA Nº 3003 - 3005","-12.046998","-77.07955","23.99","3","20.99","22.99","27.99"
"18822","Repsol","LIMA","LIMA","AV. REPUBLICA DE ARGENTINA N° 2501 – 2505 CON JR. LEONARDO ARRIETA N° 760 - 786","-12.04654","-77.07267","23.99","3","20.99","22.99","27.99"
"18872","Repsol","LIMA","LIMA","AV. COLONIAL N° 140, 160, 164, 178, ESQUINA CON JR. HUAROCHIRI N° 591","-12.046194","-77.04388","23.99","3","20.99","22.99","27.99"
"37610","Repsol","LIMA","LIMA","AV. COLONIAL N° 1817 - 1821","-12.048868","-77.06521","23.99","3","20.99","22.99","27.99"
"42769","Repsol","LIMA","LIMA","AV. NICOLAS DUEÑAS N° 606, 610, 616 (ANTES AV. NICOLAS DUEÑAS N° 590 CDRA 17 DE LA AV. ARGENTINA)","-12.042305","-77.0658","23.99","3","20.99","22.99","27.99"
"9520","Repsol","LIMA","LIMA","AV. OSCAR R. BENAVIDES N° 930","-12.04732","-77.05345","23.99","3","20.99","22.99","27.99"
"15211","Repsol","CALLAO","CALLAO","AV. TOMAS VALLE, ESQ. CON AV. LOS DOMINICOS - URB. JORGE CHAVEZ","-12.014078","-77.09527","23.99","3","20.99","21.99","27.99"
"20125","Repsol","CALLAO","CALLAO","AV. NESTOR GAMBETTA N° 115","-12.050311","-77.12641","23.99","3","20.99","21.99","27.99"
"9531","Repsol","CALLAO","CALLAO","AV. CORONEL NESTOR GAMBETTA N° 10548","-11.941226","-77.13078","23.99","3","20.99","21.99","27.99"
"8003","Repsol","CALLAO","CALLAO","AV. REPUBLICA DE ARGENTINA Nº 2920","-12.050052","-77.1137","23.99","3","20.99","21.99","27.99"
"18553","Repsol","CALLAO","CARMEN DE LA LEGUA REYNOSO","AV. ELMER FAUCETT N° 377","-12.05","-77.09849","23.99","3","20.99","21.99","27.99"
"150207","Repsol","CALLAO","VENTANILLA","AUTOPISTA HACIA VENTANILLA (AV. NESTOR GAMBETTA), SUB PARCELA A6-2B-1","-11.921436","-77.12796","23.99","3","20.99","22.49","27.99"
"6781","COESTI (Primax)","LIMA","LINCE","AV. ARENALES N° 2100","-12.0859","-77.0355","22.09","1","21.09","20.69","25.49"
"17906","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. PROCERES DE LA INDEPENDENCIA N° 3299, ESQ. CON AV. EL BOSQUE, MZ. B - LT. 06 URB. CANTO GRANDE,","-11.979714","-77.0052","22.19","1","21.19","20.99","24.99"
"7058","COESTI (Primax)","LIMA","RIMAC","JR. VIRU Nº 606","-12.039546","-77.03356","22.19","1","21.19","20.99","24.99"
"125855","COESTI (Primax)","LIMA","CHORRILLOS","AV. DEFENSORES DEL MORRO (EX AV. HUAYLAS) N° 1391 H.U. EL MORRO","-12.1756","-77.0177","22.25","1","21.25","20.99","26.19"
"33179","COESTI (Primax)","LIMA","LOS OLIVOS","AV. LAS PALMERAS MZ. A1, LOTES 2-3, ESQ. CON AV. NARANJAL, URB. PARQUE NARANJAL II ETAPA","-11.978845","-77.072624","22.29","1","21.29","20.89","25.25"
"17944","COESTI (Primax)","LIMA","BREÑA","AV. ARICA 481, ESQUINA CON JR. GENERAL VARELA Y JR. REBECA OQUENDO","-12.05935","-77.04635","22.29","1","21.29","20.69","24.99"
"9521","COESTI (Primax)","LIMA","ATE","AV. NICOLAS AYLLON S/N KM 2.8, ESQ. CON TOMAS ALVA EDISON","-12.060106","-76.97636","22.29","1","21.29","21.19","24.99"
"9087","COESTI (Primax)","LIMA","PUEBLO LIBRE","AV. SUCRE N° 1070","-12.08175","-77.06682","22.35","1","21.35","20.79","25.49"
"16586","COESTI (Primax)","LIMA","RIMAC","AV. FRANCISCO PIZARRO N°1207","-12.030842","-77.04213","22.39","1","21.39","21.19","25.19"
"18687","COESTI (Primax)","LIMA","MIRAFLORES","AV. ANDRES AVELINO CACERES N° 120 ESQ. CON AV. RICARDO PALMA","-12.119975","-77.02351","22.39","1","21.39","20.69","25.09"
"6785","COESTI (Primax)","LIMA","BREÑA","AV. TINGO MARIA N° 1711","-12.066022","-77.06037","22.39","1","21.39","20.99","24.99"
"86284","COESTI (Primax)","LIMA","LIMA","AV. UNIVERSITARIA SUR N° 498","-12.042164","-77.07726","22.39","1","21.39","20.99","25.49"
"21032","COESTI (Primax)","LIMA","CHORRILLOS","AV. GUARDIA CIVIL N° 333","-12.183533","-77.00324","22.45","1","21.45","20.99","26.19"
"7157","COESTI (Primax)","LIMA","ATE","AV. NICOLAS AYLLON Nº 2237","-12.062676","-76.98173","22.49","1","21.49","21.39","24.99"
"8228","COESTI (Primax)","LIMA","LIMA","AV. ARGENTINA N° 1801","-12.045875","-77.065544","22.49","1","21.49","20.69","25.99"
"6751","Repsol","LIMA","JESUS MARIA","AVENIDA GENERAL ALVAREZ DE ARENALES N° 400","-12.068732","-77.038124","24.49","3","21.49","21.99","27.99"
"14637","COESTI (Primax)","LIMA","COMAS","ESQUINA DE LA AV. UNIVERSITARIA Y AV. MEXICO CALLE L, MZ. D, LOTE 34, 35 Y 36 URB. SANTA ISOLINA 2DA ETAPA","-11.95587","-77.05948","22.55","1","21.55","21.25","26.05"
"7310","COESTI (Primax)","LIMA","PUEBLO LIBRE","AV. BOLIVAR N° 1020. ESQ CON AV. GENERAL CORDOVA","-12.071927","-77.06463","22.59","1","21.59","21.59","26.99"
"6880","COESTI (Primax)","LIMA","SAN MARTIN DE PORRES","AV. TOMAS VALLE N° 1981. ESQ. CALLE BAQUIJANO Y CARRILLO","-12.012953","-77.08542","22.59","1","21.59","20.79","26.55"
"83665","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. PROCERES DE LA INDEPENDENCIA N° 701 - 709","-12.021087","-77.006134","22.59","1","21.59","21.09","24.99"
"155911","COESTI (Primax)","LIMA","LURIN","SUB LOTE B-1 PARCELA RUSTICA FUNDO. CARRETERA PANAMERICANA SUR ALTURA KM 34.5 Y PLAYA ARICA","-12.29722","-76.85702","22.59","1","21.59","20.79","24.69"
"84805","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. MALECÓN CHECA EGUIGUREN N° 175-181","-12.03026","-77.01036","22.65","1","21.65","21.55","24.89"
"21057","COESTI (Primax)","CALLAO","CALLAO","AV. MARCO POLO S/N ESQ. JR. ALBERTO SECADA N* 474","-12.063315","-77.142944","22.65","1","21.65","20.85","26.19"
"14754","COESTI (Primax)","LIMA","SURQUILLO","AV. ANGAMOS ESTE N° 2398, URB. LA CALERA DE LA MERCED","-12.112332","-77.00582","22.69","1","21.69","20.95","25.39"
"7124","COESTI (Primax)","LIMA","SURQUILLO","AV. TOMAS MARSANO N° 1008 ESQUINA CON AV. ANGAMOS","-12.112739","-77.01237","22.69","1","21.69","20.69","24.89"
"19989","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. TOMAS MARSANO Nº 4080 ESQUINA CON AV. SURCO","-12.139199","-76.994225","22.69","1","21.69","21.09","25.29"
"125601","COESTI (Primax)","LIMA","PUENTE PIEDRA","AV. REPUBLICA DE CROACIA (ANTES AV. LEONCIO PRADO) CON AV. COPACABANA KM 35 DE LA PANAMERICANA. NORTE MZ. N LT 186","-11.834281","-77.113525","22.69","1","21.69","20.99","26.99"
"6799","COESTI (Primax)","LIMA","PUENTE PIEDRA","AV. LEONCIO PRADO N° 780 (PANAMERICANA NORTE KM. 34.5)","-11.841835","-77.10399","22.69","1","21.69","20.69","26.99"
"6764","COESTI (Primax)","LIMA","MIRAFLORES","PASEO DE LA REPUBLICA NO. 5789","-12.127401","-77.023895","22.69","1","21.69","20.69","24.49"
"8538","COESTI (Primax)","LIMA","MAGDALENA DEL MAR","JR. SALAVERRY N°478-480","-12.094261","-77.07458","22.69","1","21.69","20.99","24.89"
"6783","COESTI (Primax)","LIMA","LA VICTORIA","AV. NICOLAS ARRIOLA N° 295 URB. SANTA CATALINA","-12.087218","-77.01639","22.69","1","21.69","21.69","24.99"
"14646","COESTI (Primax)","LIMA","JESUS MARIA","AV. FAUSTINO SANCHEZ CARRION Nº 471 ESQUINA CON JR. ESTADOS UNIDOS","-12.089146","-77.05869","22.69","1","21.69","21.59","25.39"
"85698","COESTI (Primax)","LIMA","ATE","AV. NICOLAS AYLLON N° 2039","-12.063092","-76.98306","22.69","1","21.69","21.59","24.99"
"7109","COESTI (Primax)","LIMA","LIMA","AV. TINGO MARIA N° 1172-1194, ESQ. CON RAUL PORRAS BARRENECHEA","-12.059434","-77.058876","22.69","1","21.69","21.35","25.19"
"9593","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. PRÓCERES DE LA INDEPENCIA Nº 104. URB ZARATE","-12.031479","-77.011925","22.75","1","21.75","21.65","25.19"
"104953","COESTI (Primax)","LIMA","VILLA MARIA DEL TRIUNFO","AV. LIMA N° 2000, P.J. VILLA POETA JOSE GALVEZ PARCELA B MZ. 159, LOTE 4","-12.223733","-76.90836","22.79","1","21.79","21.59","25.15"
"16805","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. SANTIAGO DE SURCO CON AV. LOS PROCERES","-12.148054","-76.98665","22.79","1","21.79","21.09","25.39"
"19980","COESTI (Primax)","LIMA","SAN LUIS","AV. SAN JUAN N° 895","-12.074983","-77.00141","22.79","1","21.79","21.39","25.38"
"7474","COESTI (Primax)","LIMA","PUNTA HERMOSA","ZONA MÁRTIR OLAYA MZ. 'D' LOTE 5 (ANTES: CARRETERA PANAMERICANA SUR KM. 43)","-12.316627","-76.83189","22.79","1","21.79","20.89","24.99"
"9518","COESTI (Primax)","LIMA","LA VICTORIA","AV. 28 DE JULIO N° 2200","-12.061642","-77.01927","22.79","1","21.79","21.49","26.39"
"15664","COESTI (Primax)","LIMA","CHACLACAYO","AV. NICOLAS AYLLON N° 1500","-11.990666","-76.82071","22.79","1","21.79","21.49","24.29"
"42387","COESTI (Primax)","LIMA","ATE","CARRETERA CENTRAL KM. 16 (AV. NICOLAS AYLLON S/N, MZ. A, LOTE 1) PROGRAMA DE VIVIENDA LAS PRADERAS","-12.002668","-76.84133","22.79","1","21.79","21.49","24.29"
"17870","COESTI (Primax)","LIMA","LIMA","AV. NICOLAS DUEÑAS N° 308-310 ESQ. CON AV. ENRIQUE MEIGGS","-12.038753","-77.06613","22.79","1","21.79","21.69","25.59"
"21052","COESTI (Primax)","LIMA","LIMA","AV. MARISCAL OSCAR R. BENAVIDES Nº 871 (ANTES: AV. COLONIAL ESQ. AV. TINGO MARIA)","-12.047759","-77.05358","22.79","1","21.79","21.39","25.25"
"82903","COESTI (Primax)","LIMA","LIMA","AV. GRAU N° 1308 ESQ JR. HUANUCO Nª 1101","-12.05775","-77.0172","22.79","1","21.79","20.99","25.69"
"33342","COESTI (Primax)","LIMA","LA VICTORIA","AV. AVIACION S/N, ALTURA CDRA. 15, OVALO ARRIOLA","-12.078712","-77.01092","22.89","1","21.89","21.49","25.39"
"7096","COESTI (Primax)","LIMA","CHORRILLOS","AV. CAMINOS DEL INCA N° 110-134, SUB LOTE 8-A, MZ. Ñ. URB. SAN JUAN BAUTISTA DE VILLA - PRIMERA ETAPA","-12.190748","-77.0063","22.89","1","21.89","21.69","25.49"
"171680","COESTI (Primax)","CALLAO","VENTANILLA","PARCELA “A” ALTURA KM 8 DE LA CARRETERA CALLAO - VENTANILLA","-11.903967","-77.129234","22.89","1","21.89","21.19","25.99"
"8065","COESTI (Primax)","LIMA","VILLA EL SALVADOR","AV. MATEO PUMACAHUA S/N. MZ. D, LOTE 1","-12.1931","-76.96426","22.95","1","21.95","21.89","25.35"
"6771","COESTI (Primax)","LIMA","MIRAFLORES","JR. ARIAS SCHEREIBER N° 124, ESQ. JOSE SABOGAL","-12.12266","-77.01106","22.95","1","21.95","20.95","24.95"
"14872","COESTI (Primax)","LIMA","VILLA EL SALVADOR","AV. JOSE CARLOS MARIATEGUI, ESQ. AV. REVOLUCION. SECTOR 3 GRUPO 15 MZ. A, LTS. 12 Y 13","-12.220706","-76.93259","22.99","1","21.99","21.89","25.49"
"6840","COESTI (Primax)","LIMA","SAN LUIS","AV. NICOLAS AYLLON N° 1340","-12.064394","-76.99544","22.99","1","21.99","21.79","24.79"
"9539","COESTI (Primax)","LIMA","MIRAFLORES","AV. BENAVIDES N° 2116","-12.1276","-77.0104","22.99","1","21.99","21.49","24.99"
"21358","COESTI (Primax)","LIMA","LURIN","PANAMERICANA SUR KM. 30 - PARCELA B21, PARCELA B21 A1, EX FUNDO SAN PEDRO","-12.275859","-76.88944","22.99","1","21.99","20.99","24.99"
"7179","COESTI (Primax)","LIMA","LURIN","CARRETERA PANAMERICANA SUR KM 29.50","-12.272126","-76.89691","22.99","1","21.99","20.99","24.99"
"100155","COESTI (Primax)","LIMA","LA VICTORIA","AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA","-12.0831","-77.0138","22.99","1","21.99","21.69","25.39"
"9513","COESTI (Primax)","LIMA","COMAS","AV. HEROES DEL ALTO CENEPA N° 697, LOTIZACIÓN FUNDO CHACRA CERRO","-11.920835","-77.06222","22.99","1","21.99","21.69","26.99"
"19945","COESTI (Primax)","LIMA","LIMA","AV. OSCAR R. BENAVIDES N° 1380","-12.0479","-77.0594","22.99","1","21.99","21.69","25.79"
"7170","COESTI (Primax)","LIMA","LIMA","AV. COLONIAL N° 300 (ANTES AV. OSCAR R. BENAVIDES) ESQUINA CON JR. ASCOPE","-12.046532","-77.0458","22.99","1","21.99","21.79","26.19"
"158979","COESTI (Primax)","CALLAO","CALLAO","AV. NÉSTOR GAMBETTA ESQUINA CALLE Nº 01 MZ A LOTES 01 Y 02 PROGRAMA DE VIVIENDA “ACUARIO”","-11.981011","-77.124756","22.99","1","21.99","21.35","25.99"
"147378","COESTI (Primax)","CALLAO","CALLAO","AV. NESTOR GAMBETTA Y AV. LOS ALISOS MZ. A LOTES 06 Y 07 SECCION C PARCELA 2, EX FUNDO OQUENDO KM 8.5 CARRETERA A VENTANILLA","-11.964085","-77.12633","22.99","1","21.99","21.35","25.99"
